CMDLINE /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/bin/python3 byewait/src/app.py
MEM 1.312500 1551051826.7576
MEM 18.187500 1551051826.8580
MEM 30.515625 1551051826.9583
MEM 32.113281 1551051827.0588
MEM 32.113281 1551051827.1592
MEM 32.113281 1551051827.2599
MEM 32.113281 1551051827.3606
MEM 32.113281 1551051827.4609
MEM 32.113281 1551051827.5613
MEM 32.113281 1551051827.6620
MEM 32.113281 1551051827.7627
MEM 32.113281 1551051827.8633
MEM 32.113281 1551051827.9639
MEM 32.113281 1551051828.0646
MEM 32.113281 1551051828.1652
MEM 32.113281 1551051828.2659
MEM 32.113281 1551051828.3666
MEM 32.113281 1551051828.4673
MEM 32.113281 1551051828.5679
MEM 32.113281 1551051828.6687
MEM 32.113281 1551051828.7693
MEM 32.113281 1551051828.8700
MEM 32.113281 1551051828.9707
MEM 32.113281 1551051829.0713
MEM 32.113281 1551051829.1720
MEM 32.113281 1551051829.2727
MEM 32.113281 1551051829.3734
MEM 32.113281 1551051829.4741
MEM 32.113281 1551051829.5745
MEM 32.312500 1551051829.6748
MEM 32.472656 1551051829.7752
MEM 32.472656 1551051829.8755
MEM 32.730469 1551051829.9759
MEM 32.730469 1551051830.0762
MEM 32.867188 1551051830.1766
MEM 32.867188 1551051830.2770
MEM 32.867188 1551051830.3774
MEM 32.867188 1551051830.4777
MEM 32.867188 1551051830.5780
MEM 32.867188 1551051830.6783
MEM 32.867188 1551051830.7787
MEM 32.867188 1551051830.8790
MEM 32.867188 1551051830.9793
MEM 32.867188 1551051831.0796
MEM 32.867188 1551051831.1798
MEM 32.867188 1551051831.2802
MEM 32.867188 1551051831.3805
MEM 34.605469 1551051831.4808
MEM 33.246094 1551051831.5811
MEM 33.246094 1551051831.6814
MEM 33.246094 1551051831.7817
MEM 33.246094 1551051831.8821
MEM 33.246094 1551051831.9824
MEM 33.246094 1551051832.0827
MEM 33.246094 1551051832.1830
MEM 33.246094 1551051832.2833
MEM 33.246094 1551051832.3836
MEM 33.246094 1551051832.4839
MEM 33.246094 1551051832.5842
MEM 33.246094 1551051832.6845
MEM 33.246094 1551051832.7849
MEM 33.500000 1551051832.8852
MEM 33.500000 1551051832.9855
MEM 33.500000 1551051833.0858
MEM 33.500000 1551051833.1861
MEM 33.500000 1551051833.2864
MEM 33.500000 1551051833.3867
MEM 33.500000 1551051833.4869
MEM 33.500000 1551051833.5872
MEM 33.500000 1551051833.6875
MEM 33.500000 1551051833.7878
MEM 33.500000 1551051833.8881
MEM 33.500000 1551051833.9884
MEM 33.500000 1551051834.0888
MEM 33.500000 1551051834.1890
MEM 33.507812 1551051834.2893
MEM 33.507812 1551051834.3896
MEM 33.507812 1551051834.4899
MEM 33.507812 1551051834.5901
MEM 33.507812 1551051834.6905
MEM 33.507812 1551051834.7907
MEM 33.507812 1551051834.8910
MEM 33.507812 1551051834.9912
MEM 33.507812 1551051835.0915
MEM 33.507812 1551051835.1918
MEM 33.507812 1551051835.2921
MEM 33.507812 1551051835.3925
MEM 33.507812 1551051835.4927
MEM 33.507812 1551051835.5930
MEM 33.515625 1551051835.6934
MEM 33.515625 1551051835.7937
MEM 33.515625 1551051835.8939
MEM 33.515625 1551051835.9942
MEM 33.515625 1551051836.0946
MEM 33.515625 1551051836.1948
MEM 33.515625 1551051836.2951
MEM 33.515625 1551051836.3954
MEM 33.515625 1551051836.4957
MEM 33.515625 1551051836.5960
MEM 33.515625 1551051836.6964
MEM 33.515625 1551051836.7966
MEM 33.515625 1551051836.8969
MEM 33.515625 1551051836.9973
MEM 33.539062 1551051837.0977
MEM 33.539062 1551051837.1980
MEM 33.539062 1551051837.2983
MEM 33.539062 1551051837.3986
MEM 33.539062 1551051837.4989
MEM 33.539062 1551051837.5992
MEM 33.539062 1551051837.6995
MEM 33.539062 1551051837.7999
MEM 33.539062 1551051837.9002
MEM 33.539062 1551051838.0006
MEM 33.539062 1551051838.1009
MEM 33.539062 1551051838.2012
MEM 33.539062 1551051838.3015
MEM 33.539062 1551051838.4018
MEM 33.933594 1551051838.5020
MEM 33.933594 1551051838.6024
MEM 33.933594 1551051838.7027
MEM 33.933594 1551051838.8029
MEM 33.933594 1551051838.9032
MEM 33.933594 1551051839.0035
MEM 33.933594 1551051839.1038
MEM 33.933594 1551051839.2041
MEM 33.933594 1551051839.3043
MEM 33.933594 1551051839.4046
MEM 33.933594 1551051839.5049
MEM 33.933594 1551051839.6052
MEM 33.933594 1551051839.7056
MEM 33.933594 1551051839.8059
MEM 33.933594 1551051839.9062
MEM 33.933594 1551051840.0065
MEM 33.933594 1551051840.1068
MEM 33.933594 1551051840.2071
MEM 33.933594 1551051840.3074
MEM 33.933594 1551051840.4077
MEM 33.933594 1551051840.5080
MEM 33.933594 1551051840.6083
MEM 33.933594 1551051840.7086
MEM 33.933594 1551051840.8089
MEM 33.933594 1551051840.9092
MEM 33.933594 1551051841.0095
MEM 33.933594 1551051841.1097
MEM 33.933594 1551051841.2100
MEM 33.933594 1551051841.3104
MEM 33.933594 1551051841.4107
MEM 33.933594 1551051841.5110
MEM 33.933594 1551051841.6113
MEM 33.933594 1551051841.7116
MEM 33.933594 1551051841.8119
MEM 33.933594 1551051841.9123
MEM 33.933594 1551051842.0125
MEM 33.933594 1551051842.1129
MEM 33.933594 1551051842.2133
MEM 33.933594 1551051842.3136
MEM 33.933594 1551051842.4138
MEM 33.933594 1551051842.5141
MEM 33.933594 1551051842.6144
MEM 33.933594 1551051842.7147
MEM 33.933594 1551051842.8150
MEM 33.933594 1551051842.9153
MEM 33.933594 1551051843.0156
MEM 33.933594 1551051843.1159
MEM 33.933594 1551051843.2163
MEM 33.933594 1551051843.3166
MEM 33.933594 1551051843.4169
MEM 33.933594 1551051843.5172
MEM 33.933594 1551051843.6175
MEM 33.933594 1551051843.7178
MEM 33.933594 1551051843.8181
MEM 33.933594 1551051843.9185
MEM 33.933594 1551051844.0188
MEM 33.933594 1551051844.1191
MEM 33.933594 1551051844.2194
MEM 33.933594 1551051844.3198
MEM 33.933594 1551051844.4201
MEM 33.933594 1551051844.5205
MEM 33.933594 1551051844.6208
MEM 33.933594 1551051844.7211
MEM 33.933594 1551051844.8215
MEM 33.933594 1551051844.9218
MEM 33.933594 1551051845.0220
MEM 33.933594 1551051845.1224
MEM 33.933594 1551051845.2228
MEM 33.933594 1551051845.3231
MEM 33.933594 1551051845.4234
MEM 33.933594 1551051845.5236
MEM 33.933594 1551051845.6239
MEM 33.933594 1551051845.7242
MEM 33.933594 1551051845.8245
MEM 33.933594 1551051845.9248
MEM 33.933594 1551051846.0252
MEM 33.933594 1551051846.1256
MEM 33.933594 1551051846.2259
MEM 33.933594 1551051846.3261
MEM 33.933594 1551051846.4264
MEM 33.933594 1551051846.5267
MEM 33.933594 1551051846.6270
MEM 33.933594 1551051846.7273
MEM 33.933594 1551051846.8275
MEM 33.933594 1551051846.9278
MEM 33.933594 1551051847.0281
MEM 33.933594 1551051847.1283
MEM 33.933594 1551051847.2287
MEM 33.933594 1551051847.3289
MEM 33.933594 1551051847.4293
MEM 33.933594 1551051847.5295
MEM 33.933594 1551051847.6298
MEM 33.933594 1551051847.7301
MEM 33.933594 1551051847.8305
MEM 33.933594 1551051847.9307
MEM 33.933594 1551051848.0311
MEM 33.933594 1551051848.1313
MEM 33.933594 1551051848.2316
MEM 33.933594 1551051848.3320
MEM 33.933594 1551051848.4323
MEM 33.933594 1551051848.5326
MEM 33.933594 1551051848.6329
MEM 33.933594 1551051848.7333
MEM 33.933594 1551051848.8335
MEM 33.933594 1551051848.9338
MEM 33.933594 1551051849.0341
MEM 33.933594 1551051849.1344
MEM 33.933594 1551051849.2347
MEM 33.933594 1551051849.3350
MEM 33.933594 1551051849.4352
MEM 33.933594 1551051849.5355
MEM 33.933594 1551051849.6359
MEM 33.933594 1551051849.7362
MEM 33.933594 1551051849.8366
MEM 34.703125 1551051849.9369
MEM 33.933594 1551051850.0372
MEM 33.933594 1551051850.1375
MEM 33.933594 1551051850.2378
MEM 33.933594 1551051850.3381
MEM 33.933594 1551051850.4384
MEM 33.933594 1551051850.5387
MEM 33.933594 1551051850.6390
MEM 33.933594 1551051850.7393
MEM 33.933594 1551051850.8396
MEM 33.933594 1551051850.9399
MEM 33.933594 1551051851.0401
MEM 33.933594 1551051851.1405
MEM 33.933594 1551051851.2408
MEM 33.933594 1551051851.3411
MEM 33.933594 1551051851.4414
MEM 33.933594 1551051851.5417
MEM 33.933594 1551051851.6420
MEM 33.933594 1551051851.7423
MEM 33.933594 1551051851.8426
MEM 33.933594 1551051851.9429
MEM 33.933594 1551051852.0432
MEM 33.933594 1551051852.1435
MEM 33.933594 1551051852.2437
MEM 33.933594 1551051852.3441
MEM 33.933594 1551051852.4444
MEM 33.933594 1551051852.5446
MEM 33.933594 1551051852.6449
MEM 33.933594 1551051852.7451
MEM 33.933594 1551051852.8455
MEM 33.933594 1551051852.9458
MEM 33.933594 1551051853.0460
MEM 33.933594 1551051853.1464
MEM 33.933594 1551051853.2467
MEM 33.933594 1551051853.3470
MEM 33.933594 1551051853.4473
MEM 33.933594 1551051853.5476
MEM 33.933594 1551051853.6479
MEM 33.933594 1551051853.7481
MEM 33.933594 1551051853.8484
MEM 33.933594 1551051853.9487
MEM 33.933594 1551051854.0490
MEM 33.933594 1551051854.1493
MEM 33.933594 1551051854.2496
MEM 33.933594 1551051854.3499
MEM 33.933594 1551051854.4501
MEM 33.933594 1551051854.5504
MEM 33.933594 1551051854.6507
MEM 33.933594 1551051854.7510
MEM 33.933594 1551051854.8514
MEM 33.933594 1551051854.9516
MEM 33.933594 1551051855.0520
MEM 33.933594 1551051855.1523
MEM 33.933594 1551051855.2526
MEM 33.933594 1551051855.3529
MEM 33.933594 1551051855.4532
MEM 33.933594 1551051855.5535
MEM 33.933594 1551051855.6538
MEM 33.933594 1551051855.7541
MEM 33.933594 1551051855.8544
MEM 33.933594 1551051855.9547
MEM 33.933594 1551051856.0550
MEM 33.933594 1551051856.1553
MEM 33.933594 1551051856.2555
MEM 33.933594 1551051856.3558
MEM 33.933594 1551051856.4561
MEM 33.933594 1551051856.5564
MEM 33.933594 1551051856.6567
MEM 33.933594 1551051856.7570
MEM 33.933594 1551051856.8573
MEM 33.933594 1551051856.9576
MEM 33.933594 1551051857.0579
MEM 33.933594 1551051857.1582
MEM 33.933594 1551051857.2585
MEM 33.933594 1551051857.3588
MEM 33.933594 1551051857.4592
MEM 33.933594 1551051857.5596
MEM 33.933594 1551051857.6599
MEM 33.933594 1551051857.7602
MEM 33.933594 1551051857.8605
MEM 33.933594 1551051857.9608
MEM 33.933594 1551051858.0611
MEM 33.933594 1551051858.1614
MEM 33.933594 1551051858.2617
MEM 33.933594 1551051858.3620
MEM 33.933594 1551051858.4623
MEM 33.933594 1551051858.5627
MEM 33.933594 1551051858.6630
MEM 33.933594 1551051858.7633
MEM 33.933594 1551051858.8636
MEM 33.933594 1551051858.9639
MEM 33.933594 1551051859.0642
MEM 33.933594 1551051859.1645
MEM 33.933594 1551051859.2648
MEM 33.933594 1551051859.3652
MEM 33.933594 1551051859.4655
MEM 33.933594 1551051859.5658
MEM 33.933594 1551051859.6661
MEM 33.933594 1551051859.7664
MEM 33.933594 1551051859.8667
MEM 33.933594 1551051859.9670
MEM 33.933594 1551051860.0674
MEM 33.933594 1551051860.1677
MEM 33.933594 1551051860.2680
MEM 33.933594 1551051860.3683
MEM 33.933594 1551051860.4686
MEM 33.933594 1551051860.5689
MEM 33.933594 1551051860.6693
MEM 33.933594 1551051860.7696
MEM 33.933594 1551051860.8699
MEM 33.933594 1551051860.9701
MEM 33.933594 1551051861.0704
MEM 33.933594 1551051861.1708
MEM 33.933594 1551051861.2711
MEM 33.933594 1551051861.3714
MEM 33.933594 1551051861.4717
MEM 33.933594 1551051861.5720
MEM 33.933594 1551051861.6723
MEM 33.933594 1551051861.7727
MEM 33.933594 1551051861.8729
MEM 33.933594 1551051861.9732
MEM 33.933594 1551051862.0736
MEM 33.933594 1551051862.1739
MEM 33.933594 1551051862.2742
MEM 33.933594 1551051862.3745
MEM 33.933594 1551051862.4749
MEM 33.933594 1551051862.5753
MEM 33.933594 1551051862.6756
MEM 33.933594 1551051862.7759
MEM 33.933594 1551051862.8763
MEM 33.933594 1551051862.9766
MEM 33.933594 1551051863.0769
MEM 33.933594 1551051863.1772
MEM 33.933594 1551051863.2775
MEM 33.933594 1551051863.3777
MEM 33.933594 1551051863.4780
MEM 33.933594 1551051863.5784
MEM 33.933594 1551051863.6787
MEM 33.933594 1551051863.7790
MEM 33.933594 1551051863.8793
MEM 33.933594 1551051863.9796
MEM 33.933594 1551051864.0799
MEM 33.933594 1551051864.1802
MEM 33.933594 1551051864.2805
MEM 33.933594 1551051864.3808
MEM 33.933594 1551051864.4811
MEM 33.933594 1551051864.5814
MEM 33.933594 1551051864.6817
MEM 33.933594 1551051864.7820
MEM 33.933594 1551051864.8822
MEM 33.933594 1551051864.9825
MEM 33.933594 1551051865.0828
MEM 33.933594 1551051865.1831
MEM 33.933594 1551051865.2834
MEM 33.933594 1551051865.3837
MEM 33.933594 1551051865.4840
MEM 33.933594 1551051865.5843
MEM 33.933594 1551051865.6846
MEM 33.933594 1551051865.7848
MEM 33.933594 1551051865.8851
MEM 33.933594 1551051865.9854
MEM 33.933594 1551051866.0858
MEM 33.933594 1551051866.1861
MEM 33.933594 1551051866.2864
MEM 33.933594 1551051866.3867
MEM 33.933594 1551051866.4870
MEM 33.933594 1551051866.5873
MEM 33.933594 1551051866.6876
MEM 33.933594 1551051866.7878
MEM 33.933594 1551051866.8881
MEM 33.933594 1551051866.9884
MEM 33.933594 1551051867.0887
MEM 33.933594 1551051867.1890
MEM 33.933594 1551051867.2893
MEM 33.933594 1551051867.3896
MEM 33.933594 1551051867.4899
MEM 33.933594 1551051867.5902
MEM 33.933594 1551051867.6906
MEM 33.933594 1551051867.7909
MEM 33.933594 1551051867.8911
MEM 33.933594 1551051867.9914
MEM 33.933594 1551051868.0917
MEM 33.933594 1551051868.1920
MEM 33.933594 1551051868.2922
MEM 33.933594 1551051868.3926
MEM 33.933594 1551051868.4930
MEM 33.933594 1551051868.5933
MEM 33.933594 1551051868.6936
MEM 33.933594 1551051868.7939
