CMDLINE /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/bin/python3 byewait/src/app.py
MEM 3.734375 1551160730.8016
MEM 15.507812 1551160730.9020
MEM 27.308594 1551160731.0023
MEM 31.917969 1551160731.1030
MEM 31.917969 1551160731.2036
MEM 31.917969 1551160731.3044
MEM 31.917969 1551160731.4050
MEM 31.917969 1551160731.5054
MEM 31.917969 1551160731.6061
MEM 31.917969 1551160731.7068
MEM 31.917969 1551160731.8074
MEM 31.917969 1551160731.9081
MEM 31.917969 1551160732.0088
MEM 31.917969 1551160732.1094
MEM 31.917969 1551160732.2100
MEM 31.917969 1551160732.3106
MEM 31.917969 1551160732.4109
MEM 31.917969 1551160732.5113
MEM 31.917969 1551160732.6116
MEM 32.113281 1551160732.7123
MEM 32.277344 1551160732.8127
MEM 32.277344 1551160732.9130
MEM 32.277344 1551160733.0134
MEM 37.214844 1551160733.1136
MEM 37.214844 1551160733.2140
MEM 37.214844 1551160733.3143
MEM 37.214844 1551160733.4146
MEM 37.214844 1551160733.5152
MEM 37.214844 1551160733.6156
MEM 37.214844 1551160733.7159
MEM 37.214844 1551160733.8163
MEM 37.214844 1551160733.9167
MEM 37.214844 1551160734.0171
MEM 37.214844 1551160734.1174
MEM 37.214844 1551160734.2178
MEM 37.214844 1551160734.3184
MEM 37.625000 1551160734.4189
MEM 37.761719 1551160734.5192
MEM 38.015625 1551160734.6197
MEM 38.015625 1551160734.7203
MEM 38.015625 1551160734.8209
MEM 38.015625 1551160734.9215
MEM 38.015625 1551160735.0222
MEM 38.015625 1551160735.1227
MEM 38.015625 1551160735.2234
MEM 38.015625 1551160735.3239
MEM 38.015625 1551160735.4242
MEM 38.015625 1551160735.5246
MEM 38.015625 1551160735.6249
MEM 38.015625 1551160735.7256
MEM 38.015625 1551160735.8259
MEM 38.015625 1551160735.9263
MEM 38.015625 1551160736.0266
MEM 38.015625 1551160736.1270
MEM 38.015625 1551160736.2274
MEM 38.015625 1551160736.3279
MEM 38.015625 1551160736.4285
MEM 38.015625 1551160736.5291
MEM 38.015625 1551160736.6297
MEM 38.015625 1551160736.7302
MEM 38.015625 1551160736.8306
MEM 38.015625 1551160736.9313
MEM 38.015625 1551160737.0320
MEM 38.015625 1551160737.1326
MEM 38.015625 1551160737.2333
MEM 38.015625 1551160737.3340
MEM 38.015625 1551160737.4347
MEM 38.015625 1551160737.5353
MEM 38.015625 1551160737.6360
MEM 38.015625 1551160737.7367
MEM 38.015625 1551160737.8374
MEM 38.015625 1551160737.9381
MEM 38.015625 1551160738.0385
MEM 38.015625 1551160738.1391
MEM 38.015625 1551160738.2398
MEM 38.015625 1551160738.3404
MEM 38.015625 1551160738.4410
MEM 38.015625 1551160738.5416
