CMDLINE /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/bin/python3 byewait/src/app.py
MEM 3.570312 1551049534.2896
MEM 15.843750 1551049534.3900
MEM 28.832031 1551049534.4903
MEM 32.003906 1551049534.5906
MEM 32.003906 1551049534.6913
MEM 32.003906 1551049534.7919
MEM 32.003906 1551049534.8927
MEM 32.003906 1551049534.9932
MEM 32.003906 1551049535.0939
MEM 32.003906 1551049535.1946
MEM 32.003906 1551049535.2953
MEM 32.003906 1551049535.3961
MEM 32.003906 1551049535.4965
MEM 32.003906 1551049535.5968
MEM 32.003906 1551049535.6971
MEM 32.312500 1551049535.7975
MEM 32.312500 1551049535.8978
MEM 32.312500 1551049535.9982
MEM 32.988281 1551049536.0985
MEM 33.937500 1551049536.1988
MEM 36.191406 1551049536.2992
MEM 36.191406 1551049536.3995
MEM 36.191406 1551049536.4998
MEM 36.191406 1551049536.6003
MEM 36.468750 1551049536.7006
MEM 36.468750 1551049536.8009
MEM 36.468750 1551049536.9012
MEM 36.468750 1551049537.0016
MEM 36.468750 1551049537.1018
MEM 36.468750 1551049537.2021
MEM 36.468750 1551049537.3024
MEM 36.468750 1551049537.4028
MEM 36.695312 1551049537.5031
MEM 36.695312 1551049537.6033
MEM 36.953125 1551049537.7036
MEM 36.953125 1551049537.8039
MEM 37.210938 1551049537.9042
MEM 37.210938 1551049538.0045
MEM 37.210938 1551049538.1048
MEM 37.210938 1551049538.2052
MEM 37.468750 1551049538.3055
MEM 37.468750 1551049538.4057
MEM 37.726562 1551049538.5060
MEM 37.781250 1551049538.6064
MEM 37.781250 1551049538.7066
MEM 37.781250 1551049538.8069
MEM 38.035156 1551049538.9072
MEM 38.035156 1551049539.0076
MEM 38.035156 1551049539.1080
MEM 38.292969 1551049539.2085
MEM 38.292969 1551049539.3088
MEM 38.292969 1551049539.4091
MEM 38.550781 1551049539.5095
MEM 38.550781 1551049539.6098
MEM 38.550781 1551049539.7101
MEM 38.808594 1551049539.8104
MEM 38.808594 1551049539.9106
MEM 38.089844 1551049540.0109
MEM 38.089844 1551049540.1113
MEM 38.089844 1551049540.2118
MEM 38.089844 1551049540.3122
MEM 38.089844 1551049540.4126
MEM 38.089844 1551049540.5129
MEM 38.089844 1551049540.6133
MEM 38.089844 1551049540.7136
MEM 38.089844 1551049540.8140
MEM 38.089844 1551049540.9143
MEM 38.089844 1551049541.0146
MEM 38.089844 1551049541.1149
MEM 38.089844 1551049541.2151
MEM 38.089844 1551049541.3157
MEM 38.089844 1551049541.4161
MEM 38.089844 1551049541.5164
MEM 38.089844 1551049541.6167
MEM 38.089844 1551049541.7170
MEM 38.089844 1551049541.8173
MEM 38.089844 1551049541.9175
MEM 38.089844 1551049542.0178
MEM 38.089844 1551049542.1181
MEM 38.089844 1551049542.2184
MEM 38.089844 1551049542.3187
MEM 38.089844 1551049542.4191
MEM 38.089844 1551049542.5194
MEM 38.972656 1551049542.6197
MEM 38.035156 1551049542.7201
MEM 38.035156 1551049542.8207
MEM 38.035156 1551049542.9210
MEM 38.035156 1551049543.0215
MEM 38.035156 1551049543.1219
MEM 38.035156 1551049543.2224
MEM 38.035156 1551049543.3228
MEM 38.035156 1551049543.4231
MEM 38.035156 1551049543.5234
MEM 38.035156 1551049543.6237
MEM 38.035156 1551049543.7240
MEM 38.035156 1551049543.8243
MEM 38.035156 1551049543.9248
MEM 38.035156 1551049544.0252
MEM 38.035156 1551049544.1255
MEM 38.035156 1551049544.2257
MEM 38.035156 1551049544.3261
MEM 38.035156 1551049544.4263
MEM 38.035156 1551049544.5267
MEM 38.035156 1551049544.6270
MEM 38.035156 1551049544.7273
MEM 38.035156 1551049544.8276
MEM 38.035156 1551049544.9279
MEM 38.035156 1551049545.0283
MEM 38.035156 1551049545.1286
MEM 38.035156 1551049545.2288
MEM 38.035156 1551049545.3291
MEM 38.035156 1551049545.4294
MEM 38.035156 1551049545.5297
MEM 38.035156 1551049545.6300
MEM 38.289062 1551049545.7305
MEM 38.289062 1551049545.8308
MEM 38.289062 1551049545.9311
MEM 38.546875 1551049546.0314
MEM 38.546875 1551049546.1317
MEM 38.546875 1551049546.2320
MEM 38.546875 1551049546.3323
MEM 38.804688 1551049546.4326
MEM 38.804688 1551049546.5329
MEM 38.804688 1551049546.6332
MEM 38.804688 1551049546.7336
MEM 39.062500 1551049546.8339
MEM 39.062500 1551049546.9344
MEM 39.062500 1551049547.0346
MEM 39.062500 1551049547.1349
MEM 38.304688 1551049547.2352
MEM 38.304688 1551049547.3358
MEM 38.304688 1551049547.4365
MEM 38.304688 1551049547.5368
MEM 38.304688 1551049547.6372
