CMDLINE /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/bin/python3 byewait/src/app.py
MEM 3.687500 1551052051.9269
MEM 17.777344 1551052052.0272
MEM 29.937500 1551052052.1275
MEM 32.019531 1551052052.2281
MEM 32.019531 1551052052.3288
MEM 32.019531 1551052052.4295
MEM 32.019531 1551052052.5302
MEM 32.019531 1551052052.6306
MEM 32.019531 1551052052.7312
MEM 32.019531 1551052052.8318
MEM 32.019531 1551052052.9325
MEM 32.019531 1551052053.0332
MEM 32.019531 1551052053.1338
MEM 32.019531 1551052053.2345
MEM 32.019531 1551052053.3351
MEM 32.019531 1551052053.4358
MEM 32.019531 1551052053.5365
MEM 32.019531 1551052053.6371
MEM 32.019531 1551052053.7378
MEM 32.019531 1551052053.8384
MEM 32.019531 1551052053.9391
MEM 32.019531 1551052054.0398
MEM 32.019531 1551052054.1405
MEM 32.019531 1551052054.2412
MEM 32.019531 1551052054.3419
MEM 32.019531 1551052054.4425
MEM 32.019531 1551052054.5433
MEM 32.019531 1551052054.6439
MEM 32.019531 1551052054.7446
MEM 32.019531 1551052054.8453
MEM 32.019531 1551052054.9460
MEM 32.019531 1551052055.0466
MEM 32.019531 1551052055.1473
MEM 32.019531 1551052055.2477
MEM 32.019531 1551052055.3484
MEM 32.019531 1551052055.4490
MEM 32.019531 1551052055.5497
MEM 32.019531 1551052055.6504
MEM 32.019531 1551052055.7511
MEM 32.019531 1551052055.8518
MEM 32.019531 1551052055.9525
MEM 32.019531 1551052056.0532
MEM 32.019531 1551052056.1539
MEM 32.019531 1551052056.2545
MEM 32.019531 1551052056.3552
MEM 32.019531 1551052056.4559
MEM 32.019531 1551052056.5566
MEM 32.019531 1551052056.6573
MEM 32.019531 1551052056.7580
MEM 32.019531 1551052056.8586
MEM 32.019531 1551052056.9593
MEM 32.019531 1551052057.0602
MEM 32.019531 1551052057.1609
MEM 32.019531 1551052057.2615
MEM 32.019531 1551052057.3621
