CMDLINE /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/bin/python3 byewait/src/app.py
MEM 1.398438 1551051360.4924
MEM 19.101562 1551051360.5927
MEM 30.410156 1551051360.6931
MEM 31.882812 1551051360.7936
MEM 31.882812 1551051360.8943
MEM 31.882812 1551051360.9950
MEM 31.882812 1551051361.0957
MEM 31.882812 1551051361.1963
MEM 31.882812 1551051361.2970
MEM 31.882812 1551051361.3977
MEM 31.882812 1551051361.4984
MEM 31.882812 1551051361.5991
MEM 31.882812 1551051361.6999
MEM 31.882812 1551051361.8007
MEM 31.882812 1551051361.9013
MEM 31.882812 1551051362.0019
MEM 31.882812 1551051362.1026
MEM 31.882812 1551051362.2032
MEM 31.882812 1551051362.3039
MEM 31.882812 1551051362.4046
MEM 31.882812 1551051362.5051
MEM 31.882812 1551051362.6058
MEM 31.882812 1551051362.7063
MEM 31.882812 1551051362.8066
MEM 31.882812 1551051362.9071
MEM 31.882812 1551051363.0078
MEM 31.882812 1551051363.1085
MEM 31.882812 1551051363.2089
MEM 31.882812 1551051363.3096
MEM 31.882812 1551051363.4103
MEM 31.882812 1551051363.5109
MEM 31.882812 1551051363.6115
MEM 31.882812 1551051363.7122
MEM 31.882812 1551051363.8127
MEM 31.882812 1551051363.9134
MEM 31.882812 1551051364.0141
MEM 31.882812 1551051364.1148
MEM 31.882812 1551051364.2155
MEM 31.882812 1551051364.3162
MEM 31.882812 1551051364.4169
MEM 31.882812 1551051364.5176
MEM 31.882812 1551051364.6181
MEM 31.882812 1551051364.7188
MEM 31.882812 1551051364.8195
MEM 31.882812 1551051364.9202
MEM 31.882812 1551051365.0209
MEM 31.882812 1551051365.1215
MEM 31.882812 1551051365.2222
MEM 31.882812 1551051365.3229
MEM 31.882812 1551051365.4236
MEM 31.882812 1551051365.5240
MEM 32.074219 1551051365.6244
MEM 32.285156 1551051365.7247
MEM 32.285156 1551051365.8250
MEM 32.539062 1551051365.9253
MEM 32.542969 1551051366.0256
MEM 32.542969 1551051366.1259
MEM 32.542969 1551051366.2262
MEM 32.542969 1551051366.3265
MEM 32.542969 1551051366.4267
MEM 32.542969 1551051366.5270
MEM 32.542969 1551051366.6273
MEM 32.542969 1551051366.7276
MEM 32.542969 1551051366.8280
MEM 32.542969 1551051366.9283
MEM 32.542969 1551051367.0285
MEM 33.078125 1551051367.1288
MEM 33.078125 1551051367.2291
MEM 33.078125 1551051367.3294
MEM 33.078125 1551051367.4298
MEM 33.078125 1551051367.5300
MEM 33.078125 1551051367.6303
MEM 33.078125 1551051367.7306
MEM 33.078125 1551051367.8309
MEM 33.078125 1551051367.9314
MEM 33.078125 1551051368.0317
MEM 33.078125 1551051368.1320
MEM 33.078125 1551051368.2323
MEM 33.078125 1551051368.3326
MEM 33.078125 1551051368.4329
MEM 33.328125 1551051368.5332
MEM 33.328125 1551051368.6335
MEM 33.328125 1551051368.7338
MEM 33.328125 1551051368.8341
MEM 33.328125 1551051368.9344
MEM 33.328125 1551051369.0347
MEM 33.328125 1551051369.1349
MEM 33.328125 1551051369.2353
MEM 33.328125 1551051369.3356
MEM 33.328125 1551051369.4359
MEM 33.328125 1551051369.5362
MEM 33.328125 1551051369.6365
MEM 33.328125 1551051369.7367
MEM 33.488281 1551051369.8371
MEM 33.488281 1551051369.9374
MEM 33.488281 1551051370.0376
MEM 33.488281 1551051370.1379
MEM 33.488281 1551051370.2382
MEM 33.488281 1551051370.3384
MEM 33.488281 1551051370.4387
MEM 33.488281 1551051370.5390
MEM 33.488281 1551051370.6392
MEM 33.488281 1551051370.7396
MEM 33.488281 1551051370.8399
MEM 33.488281 1551051370.9402
MEM 33.488281 1551051371.0405
MEM 33.488281 1551051371.1409
MEM 33.488281 1551051371.2412
MEM 33.488281 1551051371.3415
MEM 33.488281 1551051371.4419
MEM 33.488281 1551051371.5421
MEM 33.488281 1551051371.6424
MEM 33.488281 1551051371.7427
MEM 33.488281 1551051371.8430
MEM 33.488281 1551051371.9433
MEM 33.488281 1551051372.0436
MEM 33.488281 1551051372.1439
MEM 33.488281 1551051372.2442
MEM 33.488281 1551051372.3445
MEM 33.488281 1551051372.4447
MEM 33.488281 1551051372.5451
MEM 34.441406 1551051372.6454
MEM 34.441406 1551051372.7457
MEM 34.441406 1551051372.8460
MEM 34.441406 1551051372.9462
MEM 34.441406 1551051373.0465
MEM 34.441406 1551051373.1467
MEM 34.441406 1551051373.2470
MEM 34.441406 1551051373.3473
MEM 34.441406 1551051373.4475
MEM 34.441406 1551051373.5478
MEM 34.441406 1551051373.6481
MEM 34.441406 1551051373.7483
MEM 34.441406 1551051373.8486
MEM 34.441406 1551051373.9489
MEM 34.449219 1551051374.0492
MEM 34.449219 1551051374.1495
MEM 34.449219 1551051374.2498
MEM 34.449219 1551051374.3501
MEM 34.449219 1551051374.4504
MEM 34.449219 1551051374.5508
MEM 34.449219 1551051374.6511
MEM 34.449219 1551051374.7514
MEM 34.449219 1551051374.8517
MEM 34.449219 1551051374.9520
MEM 34.449219 1551051375.0523
MEM 34.449219 1551051375.1526
MEM 34.449219 1551051375.2529
MEM 34.449219 1551051375.3533
MEM 34.449219 1551051375.4535
MEM 34.449219 1551051375.5539
MEM 34.460938 1551051375.6541
MEM 34.460938 1551051375.7545
MEM 34.460938 1551051375.8548
MEM 34.460938 1551051375.9551
MEM 34.460938 1551051376.0554
MEM 34.460938 1551051376.1557
MEM 34.460938 1551051376.2560
MEM 34.460938 1551051376.3564
MEM 34.460938 1551051376.4567
MEM 34.460938 1551051376.5569
MEM 34.460938 1551051376.6573
MEM 34.460938 1551051376.7576
MEM 34.460938 1551051376.8579
MEM 34.460938 1551051376.9582
MEM 34.468750 1551051377.0585
MEM 34.468750 1551051377.1588
MEM 34.468750 1551051377.2591
MEM 34.468750 1551051377.3593
MEM 34.468750 1551051377.4596
MEM 34.468750 1551051377.5599
MEM 34.468750 1551051377.6602
MEM 34.468750 1551051377.7606
MEM 34.468750 1551051377.8608
MEM 34.468750 1551051377.9612
MEM 34.468750 1551051378.0614
MEM 34.468750 1551051378.1617
MEM 34.468750 1551051378.2620
MEM 34.468750 1551051378.3624
MEM 34.468750 1551051378.4626
MEM 34.476562 1551051378.5630
MEM 34.476562 1551051378.6633
MEM 34.476562 1551051378.7637
MEM 34.476562 1551051378.8640
MEM 34.476562 1551051378.9643
MEM 34.476562 1551051379.0646
MEM 34.476562 1551051379.1649
MEM 34.476562 1551051379.2652
MEM 34.476562 1551051379.3655
MEM 34.476562 1551051379.4658
MEM 34.476562 1551051379.5661
MEM 34.476562 1551051379.6665
MEM 34.476562 1551051379.7668
MEM 34.476562 1551051379.8672
MEM 34.476562 1551051379.9675
MEM 34.476562 1551051380.0678
MEM 34.476562 1551051380.1681
MEM 33.601562 1551051380.2685
MEM 33.601562 1551051380.3688
MEM 33.601562 1551051380.4692
MEM 33.601562 1551051380.5695
MEM 33.601562 1551051380.6698
MEM 33.601562 1551051380.7703
MEM 33.601562 1551051380.8708
MEM 33.601562 1551051380.9713
MEM 33.601562 1551051381.0719
MEM 33.601562 1551051381.1722
MEM 33.601562 1551051381.2726
MEM 33.601562 1551051381.3729
MEM 33.601562 1551051381.4734
MEM 33.601562 1551051381.5740
MEM 33.601562 1551051381.6743
MEM 33.601562 1551051381.7746
MEM 33.601562 1551051381.8750
MEM 33.601562 1551051381.9754
MEM 33.601562 1551051382.0759
MEM 33.601562 1551051382.1763
MEM 33.601562 1551051382.2768
MEM 33.601562 1551051382.3774
MEM 33.601562 1551051382.4781
MEM 33.601562 1551051382.5788
MEM 33.601562 1551051382.6793
MEM 33.601562 1551051382.7800
MEM 33.601562 1551051382.8807
MEM 33.601562 1551051382.9813
MEM 33.601562 1551051383.0820
MEM 33.601562 1551051383.1826
MEM 33.601562 1551051383.2832
MEM 33.601562 1551051383.3839
MEM 33.601562 1551051383.4847
MEM 33.601562 1551051383.5852
MEM 33.601562 1551051383.6859
MEM 33.601562 1551051383.7864
MEM 33.601562 1551051383.8871
MEM 33.601562 1551051383.9877
MEM 33.601562 1551051384.0884
MEM 33.601562 1551051384.1893
MEM 33.601562 1551051384.2900
MEM 33.601562 1551051384.3906
MEM 33.601562 1551051384.4913
MEM 33.601562 1551051384.5921
MEM 33.601562 1551051384.6928
MEM 33.601562 1551051384.7934
MEM 33.601562 1551051384.8940
MEM 33.601562 1551051384.9946
MEM 33.601562 1551051385.0953
MEM 33.601562 1551051385.1963
MEM 33.601562 1551051385.2970
