CMDLINE /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/bin/python3 byewait/src/app.py
MEM 1.359375 1551052156.5658
MEM 17.156250 1551052156.6661
MEM 29.343750 1551052156.7665
MEM 31.953125 1551052156.8670
MEM 31.953125 1551052156.9676
MEM 31.953125 1551052157.0683
MEM 31.953125 1551052157.1690
MEM 31.953125 1551052157.2695
MEM 31.953125 1551052157.3701
MEM 31.953125 1551052157.4707
MEM 31.953125 1551052157.5714
MEM 31.953125 1551052157.6721
MEM 31.953125 1551052157.7727
MEM 31.953125 1551052157.8733
MEM 31.953125 1551052157.9739
MEM 31.953125 1551052158.0746
MEM 31.953125 1551052158.1753
MEM 31.953125 1551052158.2759
MEM 31.953125 1551052158.3766
MEM 31.953125 1551052158.4773
MEM 31.953125 1551052158.5780
MEM 31.953125 1551052158.6786
MEM 31.953125 1551052158.7792
MEM 31.953125 1551052158.8798
MEM 31.953125 1551052158.9805
MEM 31.953125 1551052159.0811
MEM 31.953125 1551052159.1818
MEM 31.953125 1551052159.2825
MEM 31.953125 1551052159.3832
MEM 31.953125 1551052159.4838
MEM 31.953125 1551052159.5846
MEM 31.953125 1551052159.6852
MEM 31.953125 1551052159.7859
MEM 31.953125 1551052159.8866
MEM 31.953125 1551052159.9873
MEM 31.953125 1551052160.0880
MEM 31.953125 1551052160.1887
MEM 31.953125 1551052160.2894
MEM 31.953125 1551052160.3900
MEM 31.953125 1551052160.4908
MEM 31.953125 1551052160.5914
MEM 31.953125 1551052160.6921
MEM 31.953125 1551052160.7927
MEM 31.953125 1551052160.8934
MEM 31.953125 1551052160.9941
MEM 31.953125 1551052161.0947
MEM 31.953125 1551052161.1951
MEM 31.953125 1551052161.2957
MEM 31.953125 1551052161.3964
MEM 31.953125 1551052161.4971
MEM 31.953125 1551052161.5978
MEM 31.953125 1551052161.6986
MEM 31.953125 1551052161.7992
MEM 31.953125 1551052161.9000
MEM 31.953125 1551052162.0007
