Sun Feb 24 18:07:46 2019    /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/PEF/profiling/results.txt

         960982 function calls (955396 primitive calls) in 18.116 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      342    0.001    0.000    0.002    0.000 /usr/lib/python3.5/inspect.py:2762(_hash_basis)
      392    0.002    0.000    0.002    0.000 {method 'recv' of '_socket.socket' objects}
    12095    0.005    0.000    0.005    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/pymysql/connections.py:384(is_error_packet)
       62    0.000    0.000    0.001    0.000 /usr/lib/python3.5/urllib/parse.py:584(parse_qsl)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/six.py:457(Module_six_moves_urllib_robotparser)
        4    0.000    0.000    0.000    0.000 {built-in method _bcrypt.timingsafe_bcmp}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/typing.py:652(Optional)
      390    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/codecs.py:185(__init__)
        1    0.000    0.000    0.002    0.002 byewait/src/services/managerService.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/pickle.py:67(PicklingError)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/ssl.py:527(SSLObject)
       62    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/iostream.py:984(_check_max_bytes)
        2    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/six.py:114(_resolve)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/web.py:2022(_load_ui_modules)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/typing.py:1548(Dict)
      327    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/concurrent.py:425(run_on_executor_decorator)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.5/ctypes/__init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/asn1crypto/algos.py:162(MaskGenAlgorithm)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/web.py:2009(_load_ui_methods)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/gen.py:589(WaitAll)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/asn1crypto/keys.py:86(RSAPrivateKey)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/json/encoder.py:2(<module>)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/util.py:386(ArgReplacer)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/email/errors.py:64(InvalidMultipartContentTransferEncodingDefect)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/cryptography/hazmat/backends/interfaces.py:231(PEMSerializationBackend)
      924    0.000    0.000    0.000    0.000 /usr/lib/python3.5/asyncio/base_events.py:332(_check_closed)
       62    0.000    0.000    0.000    0.000 {built-in method _socket.getdefaulttimeout}
       74    0.000    0.000    0.000    0.000 /usr/lib/python3.5/typing.py:423(_get_type_vars)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/Crypto/pct_warnings.py:52(PowmInsecureWarning)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/typing.py:1817(io)
       35    0.000    0.000    0.000    0.000 {method 'capitalize' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/http/client.py:164(HTTPMessage)
        2    0.000    0.000    0.001    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/tornado/netutil.py:201(add_accept_handler)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/email/_encoded_words.py:6(<module>)
        1    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/site-packages/pymysql/cursors.py:21(Cursor)
        1    0.000    0.000    0.000    0.000 {built-in method _openssl.Cryptography_add_osrandom_engine}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.5/email/errors.py:16(HeaderParseError)
      257    0.000    0.000    0.000    0.000 /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/lib/python3.5/hmac.py:10(<genexpr>)
