CMDLINE /home/jrjs/Desktop/apuntes/semestre10/PEF/final/comanda_backend/venv/bin/python3 byewait/src/app.py
MEM 1.304688 1551051269.7456
MEM 19.101562 1551051269.8460
MEM 30.921875 1551051269.9463
MEM 32.011719 1551051270.0468
MEM 32.011719 1551051270.1475
MEM 32.011719 1551051270.2482
MEM 32.011719 1551051270.3489
MEM 32.011719 1551051270.4493
MEM 32.011719 1551051270.5499
MEM 32.011719 1551051270.6505
MEM 32.011719 1551051270.7512
MEM 32.011719 1551051270.8516
MEM 32.011719 1551051270.9520
MEM 32.011719 1551051271.0526
MEM 32.011719 1551051271.1532
MEM 32.011719 1551051271.2539
MEM 32.011719 1551051271.3545
MEM 32.011719 1551051271.4552
MEM 32.011719 1551051271.5559
MEM 32.011719 1551051271.6566
MEM 32.011719 1551051271.7572
MEM 32.011719 1551051271.8579
MEM 32.011719 1551051271.9585
MEM 32.011719 1551051272.0591
MEM 32.011719 1551051272.1598
MEM 32.011719 1551051272.2604
MEM 32.011719 1551051272.3610
MEM 32.011719 1551051272.4614
MEM 32.210938 1551051272.5617
MEM 32.453125 1551051272.6620
MEM 32.710938 1551051272.7623
MEM 32.812500 1551051272.8627
MEM 32.812500 1551051272.9630
MEM 32.812500 1551051273.0633
MEM 32.812500 1551051273.1636
MEM 32.812500 1551051273.2639
MEM 32.812500 1551051273.3641
MEM 32.812500 1551051273.4644
MEM 32.812500 1551051273.5647
MEM 32.812500 1551051273.6650
MEM 32.812500 1551051273.7652
MEM 32.812500 1551051273.8655
MEM 32.812500 1551051273.9658
MEM 33.136719 1551051274.0661
MEM 33.136719 1551051274.1663
MEM 33.136719 1551051274.2666
MEM 33.136719 1551051274.3669
MEM 33.136719 1551051274.4672
MEM 33.136719 1551051274.5675
MEM 33.136719 1551051274.6678
MEM 33.136719 1551051274.7681
MEM 33.136719 1551051274.8685
MEM 33.136719 1551051274.9688
MEM 33.136719 1551051275.0691
MEM 33.136719 1551051275.1694
MEM 33.136719 1551051275.2698
MEM 33.136719 1551051275.3700
MEM 33.402344 1551051275.4703
MEM 33.402344 1551051275.5707
MEM 33.402344 1551051275.6710
MEM 33.402344 1551051275.7713
MEM 33.402344 1551051275.8716
MEM 33.402344 1551051275.9718
MEM 33.402344 1551051276.0721
MEM 33.402344 1551051276.1723
MEM 33.402344 1551051276.2726
MEM 33.402344 1551051276.3728
MEM 33.402344 1551051276.4731
MEM 33.402344 1551051276.5733
MEM 33.402344 1551051276.6736
MEM 33.402344 1551051276.7739
MEM 34.632812 1551051276.8742
MEM 34.632812 1551051276.9745
MEM 34.632812 1551051277.0748
MEM 34.632812 1551051277.1751
MEM 34.632812 1551051277.2753
MEM 34.632812 1551051277.3757
MEM 34.632812 1551051277.4760
MEM 34.632812 1551051277.5763
MEM 34.632812 1551051277.6765
MEM 34.632812 1551051277.7768
MEM 34.632812 1551051277.8771
MEM 34.632812 1551051277.9775
MEM 34.632812 1551051278.0778
MEM 34.632812 1551051278.1781
MEM 34.644531 1551051278.2784
MEM 34.644531 1551051278.3787
MEM 34.644531 1551051278.4790
MEM 34.644531 1551051278.5792
MEM 34.644531 1551051278.6796
MEM 34.644531 1551051278.7799
MEM 34.644531 1551051278.8802
MEM 34.644531 1551051278.9805
MEM 34.644531 1551051279.0808
MEM 34.644531 1551051279.1811
MEM 34.644531 1551051279.2814
MEM 34.644531 1551051279.3817
MEM 34.644531 1551051279.4820
MEM 34.644531 1551051279.5823
MEM 34.652344 1551051279.6826
MEM 34.652344 1551051279.7829
MEM 34.652344 1551051279.8832
MEM 34.652344 1551051279.9835
MEM 34.652344 1551051280.0838
MEM 34.652344 1551051280.1841
MEM 34.652344 1551051280.2844
MEM 34.652344 1551051280.3847
MEM 34.652344 1551051280.4851
MEM 34.652344 1551051280.5853
MEM 34.652344 1551051280.6856
MEM 34.652344 1551051280.7859
MEM 34.652344 1551051280.8862
MEM 34.652344 1551051280.9865
MEM 34.660156 1551051281.0868
MEM 34.660156 1551051281.1870
MEM 34.660156 1551051281.2874
MEM 34.660156 1551051281.3877
MEM 34.660156 1551051281.4880
MEM 34.660156 1551051281.5883
MEM 34.660156 1551051281.6885
MEM 34.660156 1551051281.7888
MEM 34.660156 1551051281.8891
MEM 34.660156 1551051281.9894
MEM 34.660156 1551051282.0896
MEM 34.660156 1551051282.1899
MEM 34.660156 1551051282.2902
MEM 34.660156 1551051282.3905
MEM 34.671875 1551051282.4908
MEM 34.671875 1551051282.5911
MEM 34.671875 1551051282.6914
MEM 34.671875 1551051282.7916
MEM 34.671875 1551051282.8919
MEM 34.671875 1551051282.9922
MEM 34.671875 1551051283.0925
MEM 34.671875 1551051283.1928
MEM 34.671875 1551051283.2931
MEM 34.671875 1551051283.3934
MEM 34.671875 1551051283.4937
MEM 34.671875 1551051283.5940
MEM 34.671875 1551051283.6943
MEM 34.679688 1551051283.7946
MEM 34.679688 1551051283.8949
MEM 34.679688 1551051283.9952
MEM 34.679688 1551051284.0956
MEM 34.679688 1551051284.1959
MEM 34.679688 1551051284.2962
MEM 34.679688 1551051284.3965
MEM 34.679688 1551051284.4968
MEM 34.679688 1551051284.5971
MEM 34.679688 1551051284.6973
MEM 34.679688 1551051284.7976
MEM 34.679688 1551051284.8979
MEM 34.679688 1551051284.9982
MEM 34.679688 1551051285.0986
MEM 34.160156 1551051285.1989
MEM 34.160156 1551051285.2992
MEM 34.160156 1551051285.3995
MEM 34.160156 1551051285.4998
MEM 34.160156 1551051285.6000
MEM 34.160156 1551051285.7003
MEM 34.160156 1551051285.8006
MEM 34.160156 1551051285.9009
MEM 34.160156 1551051286.0012
MEM 34.160156 1551051286.1015
MEM 34.160156 1551051286.2018
MEM 34.160156 1551051286.3020
MEM 34.160156 1551051286.4023
MEM 34.160156 1551051286.5026
MEM 34.160156 1551051286.6033
MEM 34.160156 1551051286.7040
MEM 34.160156 1551051286.8047
MEM 34.160156 1551051286.9054
MEM 34.160156 1551051287.0061
MEM 34.160156 1551051287.1068
MEM 34.160156 1551051287.2075
MEM 34.160156 1551051287.3082
MEM 34.160156 1551051287.4090
MEM 34.160156 1551051287.5097
MEM 34.160156 1551051287.6104
MEM 34.160156 1551051287.7111
MEM 34.160156 1551051287.8119
MEM 34.160156 1551051287.9126
MEM 34.160156 1551051288.0133
MEM 34.160156 1551051288.1139
MEM 34.160156 1551051288.2143
MEM 34.160156 1551051288.3149
MEM 34.160156 1551051288.4156
MEM 34.160156 1551051288.5163
MEM 34.160156 1551051288.6169
MEM 34.160156 1551051288.7176
MEM 34.160156 1551051288.8183
MEM 34.160156 1551051288.9190
MEM 34.160156 1551051289.0197
MEM 34.160156 1551051289.1205
MEM 34.160156 1551051289.2212
MEM 34.160156 1551051289.3219
MEM 34.160156 1551051289.4225
MEM 34.160156 1551051289.5232
MEM 34.160156 1551051289.6239
MEM 34.160156 1551051289.7246
MEM 34.160156 1551051289.8253
MEM 34.160156 1551051289.9260
MEM 34.160156 1551051290.0266
MEM 34.160156 1551051290.1273
MEM 34.160156 1551051290.2282
MEM 34.160156 1551051290.3288
MEM 34.160156 1551051290.4294
MEM 34.160156 1551051290.5300
MEM 34.160156 1551051290.6306
MEM 34.160156 1551051290.7312
MEM 34.160156 1551051290.8319
MEM 34.160156 1551051290.9326
MEM 34.160156 1551051291.0333
MEM 34.160156 1551051291.1340
